producto_nombre,ingredientes
Bebida hidratante en polvo Power Titanium Citricos 33 gr,"Edulcorantes naturales (sacarosa, dextrosa, fructosa, maltodextrina), acidulantes (ácido cítrico, ácido málico), mix de sales POWER (aporte de iones sodio, potasio, magnesio, calcio y cloruro), colorantes naturales (curcumina y carmín), regulador de la acidez (citrato de sodio), sabor natural a tropical citrus, anticompactante (dióxido de silicio), vitamina C, vitamina B6."
C4 Pre-entrenador Cellucor Ponche de Frutas 180 Gramos,"Saborizantes naturales y artificiales, dióxido de silicio, silicato de calcio, ácido cítrico, sucralosa, acesulfamo de potasio, rojo FD&C n.º 40"
C4 Ripped Pre-entrenador Cellucor Frambuesa Azul 180 Gramos,"Saborizantes naturales y artificiales, dióxido de silicio, silicato de calcio, ácido cítrico, sucralosa, acesulfamo de potasio, rojo FD&C n.º 40"
Gold Standard Pre Advanced Optimum Nutrition Fresa Mango 400 gr,"Saborizantes artificiales y naturales, ácido cítrico, ácido málico, silicato de calcio, dióxido de silicio, sucralosa, zumo de remolacha en polvo (colorante)."
Gold Standard Pre Advanced Optimum Nutrition Moras 400 gr,"Saborizantes artificiales y naturales, ácido cítrico, ácido málico, silicato de calcio, dióxido de silicio, sucralosa, zumo de remolacha en polvo (colorante)."
Gold Standard Pre Workout Pre Entrenador Optimum Nutrition Limonada de ArÃ¡ndano Azul 300 Gramos,"Saborizantes artificiales y naturales, ácido cítrico, ácido málico, silicato de calcio, dióxido de silicio, mezcla de gomas (goma de celulosa, goma xantana, carragenano), sucralosa, ácido tartárico, acesulfamo de potasio, azul 1."
Gold Standard Pre Workout Pre Entrenador Optimum Nutrition Ponche de Frutas 300 Gramos,"Saborizante natural y artificial, ácido cítrico, silicato de calcio, dióxido de silicio, mezcla de gomas (goma de celulosa, goma xantana, carragenano), sucralosa, ácido tartárico, ácido málico, acesulfamo de potasio, rojo 40."
Lit Pre-Entrenador Beyond Raw Ponche de Frutas 410.4 Gramos," Potasio (como fosfato monopotásico) 90 mg, CarnoSyn beta-alanina, cafeína anhidra, ATP (extracto de turba antigua y manzana), NeuroFactor (extracto de fruta de Coffea arabica)"
Mr. Hyde Pre-entrenador ProSupps Paleta de cereza 309 Gramos,"Calcio 31.5mg, Beta-alanina 2.5g, Creatina monohidratada 2.5g, Clorhidrato de betaína 100mg, Birtrato de colina 500mg, Glucuronalactona 300mg, N-acetil-L-tirosina 250mg,Cafeína 160mg, L-arginina alfa-cetoglutarato 1g, L-citrulina 500mg, Inositol 50mg, Extracto de semilla de uva 10mg."
Mr. Hyde Pre-entrenador ProSupps SandÃ­a 303 Gramos,"Calcio 31.5mg, Beta-alanina 2.5g, Creatina monohidratada 2.5g, Clorhidrato de betaína 100mg, Birtrato de colina 500mg, Glucuronalactona 300mg, N-acetil-L-tirosina 250mg,Cafeína 160mg, L-arginina alfa-cetoglutarato 1g, L-citrulina 500mg, Inositol 50mg, Extracto de semilla de uva 10mg."
Pre-Entrenador LEGENDÂ® GHOSTÂ® Blue Raspberry 420 gr,"Ácido cítrico, saborizantes naturales y artificiales, ácido málico, acesulfamo de potasio, sucralosa, dióxido de silicio"
Pre-Entrenador LEGENDÂ® GHOSTÂ® Lemon Crush 435 gr,"Ácido cítrico, saborizantes naturales y artificiales, ácido málico, acesulfamo de potasio, sucralosa, dióxido de silicio"
Pre-Entrenador LEGENDÂ® GHOSTÂ® WarheadsÂ® Sour Watermelon 405 gr,"6.1 g de aminoácidos por porción, incluyendo L-citrulina, L-tirosina y taurina. Además, contiene 250 mg de cafeína natural para un impulso de energía adicional. "
Animal Pak Universal Nutrition 44 Paquetes,"Fosfato dicálcico, maltodextrina, celulosa microcristalina, celulosa microcristalina silicificada, ácido esteárico, estearato de magnesio, hidroxipropilcelulosa, dióxido de silicio, fumarato de L-carnitina, lecitina, glaseado farmacéutico. "
Lipo 6 Black Training Pre entrenador Nutrex Research Uva 174 Gramos,"Glicerina, celulosa vegetal (cápsula vegetal), agua purificada, polisorbato 80, hipromelosa qsp, fd & c azul 1, fd & c rojo 40, fd & c amarillo 6."
