producto_nombre,ingredientes
100% Whey Proteína de suero de leche Pro Performance Chocolate 426 Gramos, "Concentrado de proteína de suero de leche, cocoa en polvo procesada con álcali, saborizantes naturales, aislado de proteína de suero de lechoe, goma celulosa, lecitina de soya (Glycine max), goma xanta, acesulfame potásico (110 mg/100 g), cloruro de sodio, sucralosa (55 mg/100 g)."
Barra de Proteína No Cow Brownie de Chocolate 60 gr, "Mezcla de proteína (proteína de arroz café, proteína de guisante), fibra de maíz soluble, glicerina, nibs de cacao, aceite de palma, almendras, coca en polvo (procesada con álcali), saborizantes naturales, sal, agua, mantequilla de cacao, mezcla endulzante (eritritol, hoja de stevia, fruta del monje)."
Barra de Proteína ONE Canela 60 gr, "Mezcla de proteínas (aislado de proteína de leche, aislado de proteína de suero de leche), mezcla de aceite vegetal (palma y almendra de palma), isomalto-oligosacáridos (fuente vegetal), glicerina vegetal, maltitol (8 500 mg/100 g), polidextrosa, fibra soluble vegetal, manteca vegetal (grasas), concentrado de proteína de suero de leche, saborizantes naturales, lecitina de soya, canela, maltodextrina, sal de mar, almidón de tapioca, leche descremada en polvo, monoglicéridos destilados, sucralosa (50 mg/100 g), carbonato de calcio, cocoa en polvo (procesada con álcali), extracto de paprika."
Barra de Proteína Quest Chispas de Chocolate 60 gr, "Sólidos de la Leche, Proteína Aislada de Leche, Polidextrosa (Fibra Prebiótica), Almendras 3%, Agua, Avena, Chocolate sin Azúcar 5%, Eritritol (3.3g por 100g de producto), Glicerina."
Barra de Proteína Think! Crema de cacahuate cremosa 60 gr, "Mezcla de proteínas (aislado de proteína de soya, caseinato de calcio, aislado de proteína de suero de leche), jarabe de maltitol, glicerina vegetal, mantequilla de cacahuate, agua, manteca de cacao, chocolate, harina de cacahuate, aceite de girasol, aceite de cacahuate, lecitina de girasol y/o de soya, caseinato de sodio, sal, grasa de leche, saborizante natural."
Barra de Proteína Wild Protein Chocolate 45 gr, "Soya inflada (aislado de proteína de soya, cacao, almidón), dátiles, maltitol (18,4 g/ 100 g), cacahuate molido, sólidos de la leche (proteína concentrada de leche, lecitina de soya), sabor chocolate (cacao, maltitol (2,2 g/ 100 g), lecitina de colza, 15 grs. de Proteína."
Barra Vegana Lenny & Larrys Chocolate Almond Sea Salt 45 Gramos, "Mezcla de proteínas (proteína de arroz integral, proteína de chícharo), jarabe de tapioca, fibra de raíz de achicoria, almendras, chispas de chocolate semi-amargo (azúcar de caña orgánica, chocolate sin azúcar, manteca de cacao), cacao en polvo alcalinizado, trozos de galleta sin gluten (harina de arroz, azúcar, aceite de palma, almidón de tapioca, agua, melaza, sabores naturales, sal), jarabe de agave orgánico, aceite de girasol, sal marina, sabor natural."
Bebida de Proteína Carnivor MuscleMeds Chocolate 500 ml, "Agua, aislado de proteína de res hidrolizada, sabores naturales y artificiales, mezcla de aminoácidos (L-leucina, L-isoleucina, L-valina), mezcla de gomas (goma de celulosa, goma xantana, carragenina), cloruro de potasio, sucralosa, sal marina, acesulfame de potasio."
Bebida de Proteína Quest Chocolate 325 Mililitros, "Agua, concentrado de proteína de leche, aislado de proteína de lecho, cocoa procesada con álcali, contiene menos de 1% de: aceite vegetal [girasol (Helianthus annuus), canola (Brassica napus) y/o soya (Glycine max)], sal, polifosfato de sodio, fosfato trisódico, goma gellana, sucralosa (27.3 mg/100 g), azúcares invertidos, glucósidos de esteviol (13 mg/100 g)"
Bebida de Proteína Yaoca Chocolate 330 ml, "Aislado de proteína de suero de leche, caseinato de calcio, cocoa, mezcla de minerales (fosfato de magnesio, hierro aminoquelado,zinc aminoquelado, sulfato de manganeso)."
Carnivor Mass Proteína de carne de res alta en carbohidratos MuscleMeds Chocolate 5.99 Libras, "Tecnología iSPIKE [Compuesta por un sistema de carbohidratos reactivos que amplifican la liberación de insulina (maltodextrina microparticulada, maíz ceroso microparticulado, amilasa, glucoamilasa), y un sistema que amplifica la señal de insulina (Agaricus blazei (cuerpo fructífero), picolinato de cromo, 4-hidroxiisoleucina, D-pinitol)], Mezcla CARNIVOR MASS BPI [Compuesta por aislado de proteína de res hidrolizada, L-glutamina, aminoácidos de cadena ramificada (BCAA: L-leucina, L-valina, L-isoleucina), e intermediarios de la Tecnología de Retención de Nitrógeno Anabólico™: GKG (glutamina-alfa-cetoglutarato), OKG (ornitina-alfa-cetoglutarato), AKG (alfa-cetoglutarato) y KIC (alfa-cetoisocaproato)], cacao, triglicéridos de cadena media (MCT), sal, sabores naturales y artificiales, antiespumante (mono y diésteres de glicol de propileno con grasas y ácidos grasos, monoglicérido de ácido graso, oleato de poliglicerol, aceite de soya RBD, dimetilpolisiloxano, sílice hidrofóbica, polisorbato 60K, monostearato de sorbitano, contiene menos del 2% de parafina), acesulfame de potasio, dióxido de silicio, sucralosa."
Carnivor Proteína de carne de res MuscleMeds Chocolate 4.5 Libras, "CARNIVOR-BPI [Aislado de proteína de res hidrolizada con intermediarios de la Tecnología de Retención de Nitrógeno Anabólico™: GKG (glutamina-alfa-cetoglutarato), OKG (ornitina-alfa-cetoglutarato), AKG (alfa-cetoglutarato) y KIC (alfa-cetoisocaproato)], BCAA (aminoácidos de cadena ramificada: L-leucina, L-valina, L-isoleucina), maltodextrina, cacao, sabor natural y artificial, sal, sílice, acesulfame K, goma xantana, lecitina de girasol, sucralosa, antiespumante (mono y diésteres de glicol de propileno con grasas y ácidos grasos, monoglicérido de ácido graso, oleato de poliglicerol, aceite de soya RBD, dimetilpolisiloxano, sílice hidrofóbica, polisorbato 60K, monostearato de sorbitano, contiene menos del 2% de parafina)"
Falcon Performance Proteína Vegetal Birdman Chocolate 1.71 Kilogramos, "Mezcla de proteínas (proteína de chícharo, proteína de arroz, proteína de semilla de arándano),Creatina mono-hidratada (Creapure), Aminoácidos [l-leucina, L- isoleucina, L-valina), Probióticos (bacillus coagulans)."
Fitmingo Proteína Vegetal Birdman Vainilla 1.02 kg,"Proteína de Chícharo (Pisum sativum) | Saborizantes Naturales | Inositol | Svetol®- Extracto de Café Verde (Coffea canephora) Descafeinado | OPTIZIOME P3 HydrolyzerTM - Mezcla de Enzimas Digestivas (Proteasas y Peptidasas Fúngicas) | Pureway C Vitamina C (Ácido Ascórbico) | Lecitina de Girasol | Ácido Hialurónico | Stevia (Stevia rebaudiana] Concentrado de Fruta Monje (Monk Fruit) | ZincnovaTM - Óxido de Zinc Microencapsulado | Vitamina A [Betacaroteno) | Vitamina D3 (Colecalciferol de Origen Vegetal). Contiene 55.88 mg de equivalentes de esteviol por cada 100 g de producto. Contiene 147 mg de concentrado de fruta monje por cada 100 g de producto. Contiene coco. Puede contener trazas de almendra."
Galleta de Proteína Quest Chispas de Chocolate 59 gr, "Mezcla de proteínas (aislado de proteína de leche, aislado de proteína de suero), mantequilla (crema, sabor natural), polidextrosa, eritritol, aceite de palma, chocolate sin azúcar, agua, caseinato de calcio, manteca de cacao, glicerina. Contiene menos del 2% de los siguientes ingredientes: sabores naturales, lecitina (de girasol, canola y/o soya), sal marina, bicarbonato de sodio, caseinato de sodio, goma xantana, edulcorante de stevia."
Gold 100% Whey Advanced Proteína de suero de leche Pro Performance AMP Vainilla 4.9 Libras, "Mezcla de proteínas de suero de leche (proteina aislada de suero de leche, concentrado de proteina de suero de leche, proteina hidrolizada de suero de leche), mezcla de enzimas (proteasa Aminogen®, lactasa), saborizantes naturales y artificiales, lecitina, goma xantana, sucralosa (14,6 mg/100 g), acesulfame potásico (3,2 mg/100 g)."
Gold Standard 100% Caseina Optimum Nutrition Chocolate 1.81 lb, "Caseína micelar, cacao en polvo (procesado con álcali), sabor natural y artificial, sal, mezcla de gomas (goma guar, goma acacia, goma xantana), lecitina de girasol y/o soya, óxido de magnesio, acesulfame de potasio, sucralosa, sulfato de zinc monohidratado."
Infusions Proteína aislada de suero de leche Isopure Limonada 400 Gramos, "Aislado de proteína de suero de leche, saborizante natural, ácido cítrico, glucósidos de esteviol, extracto de cúrcuma (colorante)."
ISO 100 Proteína aislada de suero de leche Dymatize Chocolate 5 Libras, "Aislado de proteínas de suero de leche hidrolizada, aislado de proteínas de suero de leche, cocoa en polvo, cloruro de potasio, lecitina de soya (glycine max)."
Isofit Proteína Aislada Suero de Leche Nutrex Research Chocolate 2.20 lb, "Aislado de proteina de suero de leche instantáneo, triglicéridos de cadena media en polvo triglicéridos de cadena media, goma arabigal, inulina orgánica, cocoa procesada con álcali, saborizantes naturales y artificiales, sal, goma xantana, goma gua, Lecitina Igirasol (Helianthus annuus) y/o soya (Glycine nar sucralosa (180,7 mg/100 g), acesulfame potásico (160,8 mg/100g). Contiene: ingredienes de leche y soya."
Mass Proteína Mutant Fresa Plátano 15 lb, "Caseína micelar, cacao en polvo (procesado con álcali), sabor natural y artificial, sal, mezcla de gomas (goma guar, goma acacia, goma xantana), lecitina de girasol y/o soya, óxido de magnesio, acesulfame de potasio, sucralosa, sulfato de zinc monohidratado."
Muscletech Nitro Tech 100% Whey Gold Mezcla de Proteínas premium Chocolate, "Mezcla de proteína de suero de leche (concentrado de proteína de suero de leche, aislado de proteína de suero de leche, péptidos de suero de leche), cacao (procesado con álcali), lecitina de soya o girasol, sal, saborizantes artificiales y naturales, dióxido de silicio, acesulfamo de potasio, sucralosa, mezcla de gomas (goma de celulosa, goma de xantana, carragenina)."
Plant Proteína Vegana Isopure Chocolate 621 Gramos, "Proteína de chícharo orgánica, proteína de arroz integral orgánica, cacao en polvo (procesado con álcali), sabor natural, goma xantana, extracto de hoja de stevia [reb A], cloruro de potasio, extracto de fruta del monje, goma guar."
Platinum High Proteína Optimum Nutrition Vainilla 1.63 lb, "Aislado de proteína de suero hidrolizada, aminoácidos de cadena ramificada (L-leucina, L-isoleucina, L-valina), sabor natural y artificial, lecitina de girasol y/o soya, crema no láctea (aceite de girasol, maltodextrina, almidón modificado, fosfato dipotásico, fosfato tricálcico, tocoferoles), sal, goma guar, sucralosa, acesulfame de potasio."
Proteína aislada de suero de leche Kaged Chocolate 3 lb, "Aislado de proteína de suero, sabor natural, cacao en polvo, sal marina, mezcla de gomas (goma guar, acacia, goma xantana), lecitina de girasol, ProHydrolase® (mezcla de proteasas), sucralosa, extracto de hoja de stevia."
