producto_nombre,ingredientes
Aceite de Pescado Omega 3 + COQ-10 GNC 60 Cápsulas, "Aceite de pescado, EPA (ácido eicosapentaenoico), DHA (ácido docosahexaenoico) y otros omegas-3."
Aceite de Pescado Omega 3 + Resveratrol GNC 60 Cápsulas, "Aceite de pescado, EPA (ácido eicosapentaenoico), DHA (ácido docosahexaenoico) y otros omegas-3."
Ácido Alfa Lipoico 600 mg GNC 60 Tabletas, "Ácido alfa-Lipóico, Calcio, Fósforo, Estearato de magnesio de origen vegetal, Hydroxipropil metil celulosa, Dióxido de silicio"
Ácido Hialurónico Women's 30 Cápsulas, "Aceite de Girasol (Helianthus annus), Ácido Hialurónico, Vitamina A (Palmitato), Grenetina, Glicerina, Proteína Hidrolizada (Colágeno), Agua, Dióxido de Titanio y Óxido de Hierro"
Aminoácidos Prelox 60 Tabletas, "Celulosa microcristalina, croscarmelosa sódica, estearato de magnesio, dióxido de silicio, carboximetilcelulosa sódica, dextrosa monohidratada, dextrina, dióxido de titanio, lecitina, azul FD&C N.º 1 / azul brillante FCF, azul FD&C N.º 2 / índigo carmín."
Calcio con Magnesio y Vitamina D-3 GNC 180 tabs, "Citrato de calcio, óxido de magnesio, celulosa microcristalina, hidroxipropil metil celulosa, hidroxipropilcelulosa."
Cloruro de Magnesio 200 mg Essential Nutrition 120 Tabletas, "Carbonato de calcio, proteína de soya, cloruro de magnesio y vitamina d."
Colágeno en polvo con magnesio ORGANIKA 250 gr, "Péptidos de colágeno, Bisglicinato de magnesio, L-teanina"
DHA Plus con Vitamina D Nordic Naturals 90 caps, "830 mg de ácidos grasos esenciales Omega-3 totales; 400 UI de vitamina D3 (2 cápsulas). Aceite de pescado Omega-3 dominante en DHA, con vitamina D3 natural (colecalciferol)."
Gomitas de Vitaminas y Minerales para Hombre BELABEAR Moras 100 Gomas, "Azúcar, Jarabe de Glucosa, Agua Purificada, Grenetina, Ácido Cítrico, Vitamina C (Ácido Ascórbico), Gluconato de Zinc, Pectina, Vitamina E (Acetato de DL-Alfa-Tocoferol), Citrato de Sodio, Vitamina B3 (Niacinamida), Sabor Natural de Moras, Concentrado de Alga Espirulina (como colorante natural), Vitamina B5 (Pantotenato de Calcio), Vitamina B12  (Cianocobalamina), Vitamina B1 (Tiamina), Vitamina B6 (Piridoxina), Licopeno, Vitamina A (Palmitato de Retinol), Polinicotinato de Cromo, Ácido Fólico, Biotina, Molibdato de Sodio, Ioduro de Potasio, Vitamina D3 (Colecalciferol), Cera de Carnauba (como abrillantador)."
Hierro 18 mg GNC 90 Cápsulas, "Quelato de proteína hidrolizado (hierro), celulosa microcistalina, cápsula celulosa vegetal, hidroxipropilcelulosa, ácido esteático de origen vegetal."
Histofil Colecalciferol Vitamina D3 4000 UI GNC 60 Tabletas, "Colecalciferol (equivalente a 4000 UI de vitamina D3)."
Mega Men 50 Plus Vitaminas y Minerales Men's 120 Tabletas, "Acetato de retinilo (Vitamina A), beta-caroteno, Vitamina C (ácido ascórbico y ascorbato de calcio), colecalciferol (Vitamina D), acetato de d-alfa tocoferilo natural (Vitamina E), fitonadiona (Vitamina K), mononitrato de tiamina (Vitamina B1), riboflavina (Vitamina B2), niacinamida, niacina, clorhidrato de piridoxina (Vitamina B6), ácido fólico, cianocobalamina (Vitamina B12), biotina, d-pantotenato de calcio, carbonato de calcio (Calcio), yoduro de potasio (Yodo), óxido de magnesio (Magnesio), óxido de zinc (Zinc), sulfato de cobre (Cobre), sulfato de manganeso (Manganeso), molibdato de sodio (Molibdeno), L-arginina, semilla de calabaza (Cucurbita sp.) en polvo, ácido alfa lipoico, bitartrato de colina, licopeno, inositol, dióxido de silicio (Silica), borato de sodio (Boro), luteina Lutemax (proveniente del extracto de flor de calendula (Tagetes erecta), extracto de semilla de uva (Vitis vinifera), resveratrol, extracto de raíz de cúrcuma (Curcuma longa) CurcuWIN®, isómeros de zeaxantina (proveniente del extracto de flor de calendula (Tagetes erecta), Astaxantina (proveniente de Haematococcus pluvialis), metavanadato de sodio (Vanadio), celulosa microcristalina, hidroxipropil metilcelulosa, almidón modificado, hidroxipropilcelulosa, almidón de maíz (Zea mays), ácido esteárico de origen vegetal, maltodextrina, estearato de magnesio de origen vegetal, celulosa, jarabe de glucosa, fosfato dicálcico, sacarosa, ascorbato de sodio, gelatina, dl-alfa tocoferilo, manitol (112,8 mg / 100 g), polietilenglicol, cera de camaúba, metilcelulosa, BHT, povidona, mezcla de tocoferoles, acetato de di-alfa tocoferil, colorante caramelo clase IV, goma arábiga, triglicéridos de cadena media (TCM), ésteres de poliglicerol de ácidos grasos, silicato de aluminio y sodio, carboximetilcelulosa de sodio, aceite de girasol (Helianthus annuus), talco, dióxido de titanio, palmitato de ascorbilo."
Phyton X Mezcla herbal y L-arginina Advanced Performulations 72 Tabletas, "Mezcla herbal AphroDexPYT [extracto de hoja de salvia (Salvia sclarea), raíz en polvo de fo-ti (Polygonum INGREDIENTES: Mezcla herbal AphroDexPYTTM [extracto de multiflorum), clorhidrato de L-arginina, L-arginina alfa ceto-glutarato, niacina, fruto de cayena (Capsicum frutescens), aspartato de raiz de zarzapamilla (Smilax officinalis), nuez de cola (Cola acuminata). silica, hidroxipropilcelulosa, triacetina de grado alimentario. magnesio, fosfato dicálcico, celulosa microcristalina, ácido esteárico, silica hidroxipropilcelulosa, triacetina de grado alimentario."
Picolinato de Cromo 200 mcg GNC 90 Tabletas, "Picolinatode cromo, fosfato dicálcico, celulosa, croscarmelosa sódica, ácido esteárico de origen vegetal, estearato de magnesio de origen vegetal, dióxido de silicio."
Plus Complex Glucosamina y Colágeno Artiforte 400 gr, "Colágeno hidrolizado, sulfato de glucosamina, raíz de cúrcuma (Cúrmuma longa), vitamina C, cloruro de magnesio, metilsulfonilmetano (MSM), sulfato de Condroitina, extracto de tronco de Boswellia Serrata, Ácido Hialurónico."
SEL Selenio 100 mcg GNC 100 Tabletas, "Levadura enriquecida de selenio concentrada."
TestroVax Novex Biotech 120 Tabletas, "Extracto del tallo de avena (Avena sativa), Ácido fólico,Vitamina B12 (cianocobalamina), vitamina D (colecalciferol),brócoli en polvo (Brassica oleracea)."
Triflex Turmeric Fórmula con cúrcuma GNC 60 Tabletas, "Extracto de raíz de cúrcuma (Curcuma longa) CurcuWIN® (20% de ácidos alfa-ceto boswellico), Extracto de pimienta negra (Piper nigrum)(50% de piperina), celulosa, croscarmelosa de sodio, ácido esteárico de origen vegetal, silicato de calcio, dióxido de silicio, estearato de magnesio de origen vegetal, triacetina, polietilenglicol, ácido oleico, monoglicéridos di-acetilados, eticelulosa."
Z-50 Zinc 30 mg GNC 100 Tabletas, "Óxido de zinc (equivalente a 30 mg de zinc)."
Ácido Fólico 800 Mcg GNC 100 Tabletas, "Ácido fólico."
Coenzima Q-10 200 mg GNC 30 caps, "Coenzima Q-10, aceite de soya (Glycine max), gelatina, glicerina, lecitina de soya (Glycine max), dióxido de titanio, clorofila."
GNC PYRYDOX Piridoxina Vitamina B6 100 mg - 100 Tabletas, "Clorhidrato de Piridoxina [equivalente a 100 mg de Piridoxina (vitamina B6)]."
Natural E Vitamina E400 UI GNC 180 Cápsulas, "Acetati de D-alfa tocoferil 364 mg."
SAWP 500 Saw Palmetto 500 mg Nature's Fingerprint 90 Cápsulas, "Polvo de frutos de Serenoa repens (Sabol) 500 mg."
